ID,Nombre,Estado,URL,Fecha de Actualización
2,SIGU Intranet,online,https://sigu.autonomadeica.edu.pe,2024-11-21 16:08:16
3,ELIBRO,online,https://elibro.net/es/lc/autonomadeica/inicio,2024-11-21 16:08:16
4,Repositorio,online,https://repositorio.autonomadeica.edu.pe,2024-11-21 16:08:16
6,Goggle,online,https://www.google.com,2024-11-21 16:08:16
7,SIGU ADMIN,online,https://sigu.autonomadeica.edu.pe/admin/inicio,2024-11-21 16:08:16
8,SIGU ALUMNO,online,https://sigu.autonomadeica.edu.pe/alumno/entrar,2024-11-21 16:08:16
11,DIPI 2,online,https://dipi.autonomadeica.edu.pe/rai,2024-11-21 16:08:16
12,GITHUB,online,https://github.com,2024-11-21 16:08:16
13,JEDU,online,https://autonomadeica.jedu.pe,2024-11-21 16:08:16
17,GOOGLE 2,online,https://www.google.com,2024-11-21 16:08:16
21,AUTONOMA,online,https://autonomadeica.com,2024-11-21 16:08:16
22,DIPI PRUEBA,offline,http://dipi.autonomadeica.edu.pe:5000,2024-11-21 16:08:16
24,LOGIN AULA VIRTUAL,online,https://aulavirtual.autonomadeica.edu.pe/login/index.php,2024-11-21 16:08:16

ID,Nombre,Fecha de Cambio,Estado Anterior,Estado Actual,Duración (Horas)
2,SIGU Intranet,2024-11-20 19:51:31,online,online,0
2,SIGU Intranet,2024-11-20 19:52:52,online,online,0
2,SIGU Intranet,2024-11-20 19:54:14,online,online,0
2,SIGU Intranet,2024-11-20 19:55:32,online,online,0
2,SIGU Intranet,2024-11-20 19:57:00,online,online,0
2,SIGU Intranet,2024-11-20 19:58:22,online,online,0
2,SIGU Intranet,2024-11-20 19:59:38,online,online,0
2,SIGU Intranet,2024-11-20 20:01:06,online,online,0
2,SIGU Intranet,2024-11-20 20:02:30,online,online,0
2,SIGU Intranet,2024-11-20 20:03:47,online,online,0
2,SIGU Intranet,2024-11-20 20:05:18,online,online,0
2,SIGU Intranet,2024-11-20 20:06:36,online,online,0
2,SIGU Intranet,2024-11-20 20:07:54,online,online,0
2,SIGU Intranet,2024-11-20 20:09:14,online,online,0
2,SIGU Intranet,2024-11-20 20:10:31,online,online,0
2,SIGU Intranet,2024-11-20 20:11:57,online,online,0
2,SIGU Intranet,2024-11-20 20:13:19,online,online,0
2,SIGU Intranet,2024-11-20 20:14:36,online,online,0
2,SIGU Intranet,2024-11-20 20:15:57,online,online,0
2,SIGU Intranet,2024-11-20 20:17:19,online,online,0
2,SIGU Intranet,2024-11-20 20:18:36,online,online,0
